Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
4,0,1,0,21,23,0,0,0,0,0,1.06769229266134,-3.30293031830835,21,23,0,0,0
1,1,1.07775134424243,0,0,0,0,0,0,0,0,1.07775134424243,0,0,0,106.422407493042,-4.45620782461944,0
2,0,1,0,45,14,31,35,0,0,0,1.05525743580962,-4.52540993897883,45,14,31,35,0
3,0,1,0,47,12,0,0,0,0,0,1.03109399644989,-6.48057400585913,47,12,0,0,0
4,0,1,0,41,18,0,0,0,0,0,1.01832364936962,-6.12873940258358,41,18,0,0,0
1,1,1.05675493047122,0,0,0,0,0,0,0,0,1.05675493047122,0,0,0,64.8130522501305,-20.099096420363,0
2,0,1,0,34,14,37,34,0,0,0,1.06472676865893,-4.1107975060576,34,14,37,34,0
3,0,1,0,20,8,0,0,0,0,0,1.04798168891457,-5.06044649176259,20,8,0,0,0
4,0,1,0,46,13,0,0,0,0,0,1.03796413868263,-5.99035872530919,46,13,0,0,0
1,1,1.03345377290912,0,0,0,0,0,0,0,0,1.03345377290912,0,0,0,72.3068930684408,5.55374648931792,0
2,0,1,0,39,17,48,33,0,0,0,1.00238921580949,-2.73340921786808,39,17,48,33,0
3,0,1,0,33,15,0,0,0,0,0,0.979189923000966,-5.261141857397,33,15,0,0,0
4,0,1,0,45,17,0,0,0,0,0,0.953889217090927,-6.64080316192517,45,17,0,0,0
1,1,1.05859830831072,0,0,0,0,0,0,0,0,1.05859830831072,0,0,0,70.9395645397418,-18.4068716007406,0
2,0,1,0,43,14,30,36,0,0,0,1.04912107724193,-3.28422736005583,43,14,30,36,0
3,0,1,0,26,13,0,0,0,0,0,1.04064020717143,-3.90559640880374,26,13,0,0,0
4,0,1,0,30,11,0,0,0,0,0,1.03967331146669,-4.11228500881121,30,11,0,0,0
